296
1 120 265 204
2 273 106 279 118
2 239 124 291 160
2 81 217 160 261
1 65 89 128
2 35 139 198 248
2 294 39 295 244
2 73 167 153 294
2 286 56 286 293
2 188 122 218 247
2 11 34 293 92
2 136 232 226 286
2 180 179 232 290
2 77 57 225 237
2 227 280 260 293
2 226 276 294 279
2 65 57 193 184
2 288 187 294 279
2 88 118 289 271
2 195 30 293 152
2 18 6 60 91
2 128 118 155 271
2 75 31 141 280
2 239 112 251 246
2 155 21 198 49
2 277 56 284 163
2 215 205 267 251
1 276 210 499
2 248 108 285 256
2 29 11 204 196
2 264 88 277 97
2 20 82 128 218
2 51 145 121 264
2 97 139 122 193
2 21 262 240 280
2 61 293 216 295
2 38 94 105 245
2 213 98 288 207
2 122 212 135 294
2 48 148 196 239
2 189 201 293 212
2 55 121 141 253
1 22 207 24
2 72 106 280 190
2 139 267 194 281
2 268 258 279 276
2 44 148 149 234
2 256 140 266 293
2 244 200 245 214
1 33 240 225
2 127 280 135 286
2 188 145 199 212
2 258 168 260 267
2 63 283 295 285
2 71 151 129 200
2 3 109 84 196
2 243 53 293 127
2 6 281 139 293
2 64 270 281 280
2 27 146 69 295
2 11 248 111 292
2 56 147 242 188
2 67 251 125 260
2 172 6 289 290
2 82 13 287 223
2 8 251 161 261
2 85 139 236 265
1 71 241 329
2 159 241 173 272
2 181 214 198 295
2 118 38 154 90
2 6 202 21 278
2 110 191 117 198
2 13 19 250 160
2 187 175 226 284
1 9 153 354
1 174 77 26
2 84 56 128 124
2 24 30 255 72
1 25 282 164
2 73 68 244 108
2 97 62 171 77
2 223 190 263 199
2 289 38 294 242
2 79 242 99 288
2 284 142 289 157
2 201 154 219 244
2 171 31 247 101
2 44 148 277 281
2 80 244 158 260
2 152 254 161 267
2 192 235 214 246
2 267 169 292 172
2 241 104 265 159
2 124 103 226 125
2 166 157 235 257
2 147 7 213 55
2 251 47 252 234
2 269 243 275 264
2 294 12 294 158
2 30 65 274 204
2 155 230 255 257
2 234 194 256 258
2 185 228 227 250
2 167 61 210 112
1 171 170 385
2 197 66 200 95
2 78 251 197 281
2 244 284 263 295
2 195 38 239 291
2 76 16 86 46
2 181 131 227 169
2 93 64 280 134
2 242 32 252 155
2 115 233 180 295
2 14 78 207 163
2 113 216 113 220
2 137 164 229 210
2 224 183 270 204
2 109 125 154 161
2 210 143 225 283
2 139 41 163 86
2 76 33 241 253
2 198 82 241 190
1 6 42 68
2 3 212 45 249
2 2 19 28 72
2 118 270 189 287
2 142 150 293 170
2 130 19 288 254
2 227 254 279 269
2 20 293 256 295
2 8 186 225 198
2 281 262 290 285
2 11 183 226 235
1 76 65 449
2 29 165 220 267
2 24 74 206 278
2 52 269 60 288
2 19 168 123 216
2 257 159 275 253
1 88 197 102
2 231 191 295 272
2 72 246 118 281
2 238 187 294 198
2 224 125 274 129
2 144 206 199 251
2 120 282 131 295
2 162 168 284 250
2 95 130 97 281
2 124 113 170 234
2 72 8 140 295
2 147 247 192 293
1 26 89 279
2 253 211 268 230
2 227 99 261 289
2 245 258 277 282
2 79 241 288 242
2 26 155 134 254
1 130 76 119
2 57 34 121 223
2 115 122 263 243
2 102 282 204 286
2 252 30 268 202
2 70 276 278 294
2 92 267 218 285
2 217 293 280 294
1 245 173 385
2 266 268 285 269
2 278 20 285 100
1 83 172 241
2 12 206 26 233
2 192 122 199 232
2 30 219 196 276
1 59 102 434
2 94 126 227 154
2 229 134 231 259
2 244 48 282 150
2 244 99 264 147
2 257 147 282 156
2 81 175 187 225
2 6 125 41 196
2 273 287 285 291
2 9 68 120 136
2 230 73 237 133
2 228 66 244 262
2 96 280 168 283
2 131 187 233 274
2 116 252 239 258
2 21 283 51 288
2 198 75 239 258
1 96 33 360
2 14 99 33 259
2 98 110 249 162
2 211 114 245 222
2 237 27 266 144
2 214 228 267 289
2 158 267 162 295
2 264 117 269 123
2 246 69 277 135
1 75 216 434
2 26 58 293 241
2 261 133 261 247
2 200 194 217 202
2 159 224 172 277
2 163 221 192 230
2 104 51 294 134
2 67 270 143 271
2 61 55 95 118
2 246 151 272 258
2 119 3 209 235
2 70 244 234 264
2 195 30 208 156
2 33 236 268 247
1 155 141 299
2 173 137 261 290
2 185 150 265 172
2 161 129 252 179
2 26 150 29 154
2 204 63 283 224
2 291 280 292 284
2 264 207 266 255
2 27 10 129 184
2 272 190 285 260
2 5 184 184 255
2 22 198 231 203
2 9 267 268 287
2 118 136 285 172
2 100 200 234 262
2 229 31 249 149
2 79 120 234 195
2 69 278 129 286
1 72 239 233
2 50 187 113 241
2 250 164 287 228
2 295 170 295 215
2 195 194 222 246
2 281 154 295 200
2 134 271 148 292
2 197 60 214 258
2 230 35 273 67
2 137 188 216 254
1 50 197 366
2 72 109 149 265
2 133 134 139 265
1 214 72 46
2 191 15 272 23
2 288 25 294 174
2 248 103 259 245
2 91 162 184 274
2 189 78 276 266
2 68 225 194 290
2 187 171 247 198
2 200 185 280 276
2 117 294 174 295
2 278 89 288 176
2 294 46 294 208
2 118 233 178 251
2 199 205 276 225
2 242 29 248 256
2 64 64 220 154
2 121 258 229 266
1 31 74 318
2 136 131 137 288
2 211 69 246 195
2 20 70 182 293
2 15 282 191 290
1 117 96 271
2 22 58 82 190
2 44 199 197 204
2 55 113 160 230
2 160 63 208 150
2 97 275 258 294
2 62 60 84 172
2 104 222 107 226
2 19 146 101 207
2 32 8 241 163
2 13 53 45 61
2 14 53 112 235
1 113 155 224
2 290 38 294 197
2 10 288 181 288
2 13 269 56 276
2 113 163 211 274
2 268 39 272 90
2 50 0 120 183
2 247 37 266 115
2 276 227 284 276
2 286 34 288 201
2 80 180 80 209
2 54 147 216 257
2 20 123 173 194
2 279 175 279 191
2 159 79 164 121
2 53 84 247 273
2 57 109 82 178
2 267 258 272 285
2 221 108 239 213
2 147 147 278 224
1 107 246 187
2 124 117 129 180
2 150 240 224 280
2 110 64 127 166
2 284 239 288 263
2 22 288 294 293
2 127 2 272 237
2 4 99 207 247
2 38 2 155 7
2 25 163 264 251
2 256 134 295 219
2 180 160 293 212
2 289 171 292 211
1 118 23 4
2 218 276 269 293
2 163 242 211 244
2 138 60 218 122
2 72 73 217 273
2 54 38 95 56
2 262 99 263 295
2 5 277 93 295
2 117 212 285 216
1 229 234 395
2 253 60 271 138
2 123 153 259 189
2 242 70 257 214
2 209 12 285 261
2 68 186 148 286
2 244 101 263 174
2 193 116 226 168
2 283 248 294 291
2 211 118 274 284
2 202 181 259 255
2 220 130 230 272
2 48 109 265 198
2 114 139 250 177
2 284 267 285 271
2 181 272 203 295
2 54 185 128 214
2 161 124 192 293
2 105 85 105 219
2 188 236 243 266
2 118 54 231 219
1 72 157 92
1 126 143 408
2 24 242 45 269
2 64 227 217 280
1 128 169 42
2 103 118 264 244
2 182 42 211 130
2 280 96 294 275
2 217 58 243 253
2 195 68 201 287
2 51 164 165 202
1 173 281 255
2 201 88 230 253
2 219 192 230 263
2 122 59 188 148
2 246 287 261 292
1 270 36 140
2 134 221 158 262
2 225 274 231 282
2 245 249 269 288
2 107 273 114 282
2 107 243 252 253
1 54 245 396
1 106 17 82
2 167 11 272 156
2 16 215 218 247
1 173 76 125
2 99 86 223 285
2 163 13 255 75
2 162 45 168 63
2 169 176 228 198
2 268 65 268 110
2 118 127 223 234
2 261 81 262 194
2 119 90 276 282
2 32 175 233 292
2 228 17 283 20
2 271 129 284 180
1 112 19 214
2 58 20 114 78
2 18 35 60 291
2 138 190 144 256
2 243 23 269 209
2 55 253 146 254
2 277 237 291 273
2 249 59 267 215
2 171 215 227 271
2 126 226 250 236
2 170 112 292 231
2 37 224 194 276
2 195 151 247 292
2 251 247 269 254
2 70 231 232 280
2 92 283 156 295
2 45 159 101 170
2 247 292 295 294
2 166 201 259 250
2 268 218 274 294
2 234 250 273 271
2 60 142 108 196
2 216 123 218 173
2 127 294 144 294
2 119 209 169 224
2 83 27 271 276
2 152 135 258 150
2 135 170 158 289
2 88 1 225 199
2 224 222 262 261
2 254 122 289 206
1 100 288 287
2 279 85 285 152
2 263 166 281 290
2 205 39 248 113
2 19 152 147 192
2 193 251 206 267
2 152 97 274 237
2 176 227 236 283
2 144 257 148 287
2 35 164 76 182
2 253 188 285 259
2 99 227 245 228
2 175 253 242 293
1 73 119 437
2 63 111 235 170
